Google Chrome version,selenium/node-chrome tag
43.0.2357.124,2.45.0
43.0.2357.65,2.44.0
44.0.2403.125,2.46.0
45.0.2454.101,2.47.1
45.0.2454.101,2.48.1
47.0.2526.80,2.48.2
48.0.2564.109,2.49.1
48.0.2564.109,2.50.0
53.0.2785.143,2.52.0
53.0.2785.143,2.53.0
53.0.2785.143,2.53.1
53.0.2785.143,2.53.1-americium
53.0.2785.143,2.53.1-beryllium
53.0.2785.143,3.0.0-beta3
53.0.2785.143,3.0.0-beta4
54.0.2840.59,3.0.0-actinium
54.0.2840.59,3.0.0-berkelium
54.0.2840.59,3.0.0-cerium
54.0.2840.59,3.0.0-dubnium
54.0.2840.71,3.0.1-aluminum
54.0.2840.100,3.0.1-barium
55.0.2883.87,3.0.1-carbon
55.0.2883.87,3.0.1-dysprosium
55.0.2883.87,3.0.1-erbium
55.0.2883.87,3.0.1-fermium
56.0.2924.87,3.0
56.0.2924.87,3.0.1
56.0.2924.87,3.0.1-germanium
56.0.2924.87,3.1
56.0.2924.87,3.1.0
56.0.2924.87,3.1.0-astatine
57.0.2987.110,3.2
57.0.2987.110,3.2.0
57.0.2987.110,3.2.0-actinium
57.0.2987.110,3.3.0
57.0.2987.110,3.3.0-americium
57.0.2987.133,3.3
57.0.2987.133,3.3.1
57.0.2987.133,3.3.1-cesium
58.0.3029.81,3.4.0-actinium
58.0.3029.81,3.4.0-bismuth
58.0.3029.81,3.4.0-chromium
59.0.3071.86,3.4.0-dysprosium
59.0.3071.115,3.4.0-einsteinium
60.0.3112.113,3.4
60.0.3112.113,3.4.0
60.0.3112.113,3.4.0-francium
60.0.3112.113,3.5.0
60.0.3112.113,3.5.0-argon
60.0.3112.113,3.5.1
60.0.3112.113,3.5.1-aluminum
60.0.3112.113,3.5.2
60.0.3112.113,3.5.2-antimony
61.0.3163.79,3.5.3-astatine
61.0.3163.100,3.6.0-americium
61.0.3163.100,3.6.0-bromine
61.0.3163.91,3.5
61.0.3163.91,3.5.3
61.0.3163.91,3.5.3-boron
62.0.3202.62,3.6.0-copper
62.0.3202.75,3.6
62.0.3202.75,3.6.0
62.0.3202.75,3.6.0-darmstadtium
62.0.3202.75,3.7.0
62.0.3202.75,3.7.0-arsenic
62.0.3202.89,3.7.1-argon
62.0.3202.94,3.7
62.0.3202.94,3.7.1
62.0.3202.94,3.7.1-beryllium
62.0.3202.94,3.7.1-cadmium
62.0.3202.94,3.8.1-aluminum
63.0.3239.84,3.8.1-bohrium
63.0.3239.108,3.8.1-chlorine
63.0.3239.132,3.8.1-dubnium
63.0.3239.132,3.8.1-erbium
64.0.3282.119,3.8
64.0.3282.119,3.8.1
64.0.3282.119,3.8.1-francium
64.0.3282.140,3.9
64.0.3282.140,3.9.0
64.0.3282.140,3.9.0-antimony
64.0.3282.140,3.9.1
64.0.3282.140,3.9.1-actinium
64.0.3282.186,3.10
64.0.3282.186,3.10.0
64.0.3282.186,3.10.0-argon
65.0.3325.146,3.11.0-antimony
65.0.3325.162,3.11.0-bismuth
65.0.3325.181,3.11.0-californium
66.0.3359.117,3.11
66.0.3359.117,3.11.0
66.0.3359.117,3.11.0-dysprosium
66.0.3359.170,3.12.0-americium
67.0.3396.62,3.12.0-boron
67.0.3396.87,3.12
67.0.3396.87,3.12.0
67.0.3396.87,3.12.0-cobalt
67.0.3396.99,3.13.0-argon
68.0.3440.84,3.13
68.0.3440.84,3.13.0
68.0.3440.84,3.13.0-boron
68.0.3440.84,3.14.0-arsenic
68.0.3440.106,3.14.0-beryllium
68.0.3440.106,3.14.0-curium
69.0.3497.81,3.14.0-dubnium
69.0.3497.92,3.14.0-europium
69.0.3497.100,3.14.0-francium
69.0.3497.100,3.14.0-gallium
69.0.3497.100,3.14.0-helium
70.0.3538.67,3.14.0-iron
70.0.3538.77,3.14
70.0.3538.77,3.14.0
70.0.3538.77,3.14.0-krypton
70.0.3538.77,3.141.0
70.0.3538.77,3.141.0-actinium
70.0.3538.77,3.141.5
70.0.3538.77,3.141.5-astatine
70.0.3538.102,3.141.59-antimony
70.0.3538.110,3.141.59-bismuth
71.0.3578.80,3.141.59-copernicium
71.0.3578.98,3.141.59-dubnium
71.0.3578.98,3.141.59-europium
72.0.3626.81,3.141.59-fluorine
72.0.3626.81,3.141.59-gold
72.0.3626.109,3.141.59-hafnium
72.0.3626.119,3.141.59-iron
72.0.3626.121,3.141.59-krypton
73.0.3683.75,3.141.59-lithium
73.0.3683.86,3.141.59-mercury
74.0.3729.108,3.141.59-neon
74.0.3729.169,3.141.59-oxygen
75.0.3770.80,3.141.59-palladium
75.0.3770.90,3.141.59-radium
75.0.3770.100,3.141.59-selenium
76.0.3809.87,3.141.59-titanium
76.0.3809.132,3.141.59-uranium
77.0.3865.75,3.141.59-vanadium
78.0.3904.70,3.141.59-xenon
79.0.3945.79,3.141.59-yttrium
79.0.3945.117,3.141.59-zinc
80.0.3987.106,3.141.59-zirconium
80.0.3987.149,3.141.59-20200326
80.0.3987.149,4.0.0-alpha-5-20200326
81.0.4044.92,3.141.59-20200409
81.0.4044.92,4.0.0-alpha-5-20200409
81.0.4044.138,3.141.59-20200515
81.0.4044.138,4.0.0-alpha-5-20200515
83.0.4103.61,3.141.59-20200525
83.0.4103.61,4.0.0-alpha-5-20200525
83.0.4103.97,4.0.0-alpha-6-20200609
83.0.4103.97,4.0.0-alpha6-20200609
